price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,length_width,culet,delivery
809,0.40,VeryGood,E,VS2,Excellent,VeryGood,None,61.5,58.0,1.35,None,Dec7
810,0.40,VeryGood,E,VS1,Excellent,VeryGood,None,62.9,60.0,1.39,None,Dec7
811,0.54,VeryGood,I,SI2,Excellent,VeryGood,None,64.2,58.0,1.43,None,Dec7
814,0.50,VeryGood,E,SI2,VeryGood,Good,None,62.4,57.0,1.35,None,Dec7
815,0.43,VeryGood,E,VVS2,Excellent,Good,Medium,61.3,56.0,1.32,None,Dec7
815,0.50,VeryGood,E,SI2,VeryGood,Good,None,61.2,58.0,1.34,None,Dec7
816,0.37,VeryGood,D,VS2,Good,Good,None,60.1,58.0,1.27,None,Dec4
817,0.41,VeryGood,G,IF,Excellent,VeryGood,Faint,63.0,55.0,1.31,None,Dec5
819,0.40,VeryGood,F,VS2,VeryGood,VeryGood,None,60.0,62.0,1.39,None,Dec7
819,0.41,VeryGood,D,VS1,VeryGood,Good,None,60.3,60.0,1.33,None,Dec7
822,0.50,VeryGood,H,SI1,Excellent,Good,Faint,61.4,57.0,1.43,None,Dec7
822,0.50,VeryGood,H,SI1,VeryGood,Good,Faint,59.3,55.0,1.45,None,Dec7
822,0.60,VeryGood,J,SI2,Excellent,Good,Faint,61.0,58.0,1.37,None,Dec7
823,0.41,VeryGood,E,VS1,Excellent,VeryGood,None,59.9,57.0,1.37,None,Dec7
824,0.37,VeryGood,D,VVS1,Excellent,Good,None,61.2,60.0,1.35,None,Dec4
824,0.37,VeryGood,D,VVS1,Excellent,Good,None,62.3,61.0,1.39,None,Dec7
